north_american_product_classification_system_napcs,principal_trading_partners,geo,year_month,import,export
Aircraft and other transportation equipment and parts [C21],Belgium,British Columbia,2020,402,35
Aircraft and other transportation equipment and parts [C21],Belgium,Canada,2017,302946,45661
Aircraft and other transportation equipment and parts [C21],Belgium,Canada,2018,693751,226153
Aircraft and other transportation equipment and parts [C21],Belgium,Canada,2019,1098440,191416
Aircraft and other transportation equipment and parts [C21],Belgium,Canada,2020,1165737,35135
Aircraft and other transportation equipment and parts [C21],Belgium,Manitoba,2017,675,0
Aircraft and other transportation equipment and parts [C21],Belgium,Manitoba,2018,1755,0
Aircraft and other transportation equipment and parts [C21],Belgium,Manitoba,2019,2234,0
Aircraft and other transportation equipment and parts [C21],Belgium,Manitoba,2020,1067,5
Aircraft and other transportation equipment and parts [C21],Belgium,New Brunswick,2017,0,0
Aircraft and other transportation equipment and parts [C21],Belgium,New Brunswick,2018,0,0
Aircraft and other transportation equipment and parts [C21],Belgium,New Brunswick,2019,0,0
Aircraft and other transportation equipment and parts [C21],Belgium,New Brunswick,2020,0,40
Aircraft and other transportation equipment and parts [C21],Belgium,Newfoundland and Labrador,2017,22,0
Aircraft and other transportation equipment and parts [C21],Belgium,Newfoundland and Labrador,2018,0,0
Aircraft and other transportation equipment and parts [C21],Belgium,Newfoundland and Labrador,2019,0,0
Aircraft and other transportation equipment and parts [C21],Belgium,Newfoundland and Labrador,2020,0,0
Aircraft and other transportation equipment and parts [C21],Belgium,Northwest Territories,2017,0,0
Aircraft and other transportation equipment and parts [C21],Belgium,Northwest Territories,2018,0,0
Aircraft and other transportation equipment and parts [C21],Belgium,Northwest Territories,2019,0,0
Aircraft and other transportation equipment and parts [C21],Belgium,Northwest Territories,2020,0,0
Aircraft and other transportation equipment and parts [C21],Belgium,Nova Scotia,2017,20478,20
Aircraft and other transportation equipment and parts [C21],Belgium,Nova Scotia,2018,670297,0
Aircraft and other transportation equipment and parts [C21],Belgium,Nova Scotia,2019,1090717,10
Aircraft and other transportation equipment and parts [C21],Belgium,Nova Scotia,2020,1156525,40
Aircraft and other transportation equipment and parts [C21],Belgium,Nunavut,2017,0,0
Aircraft and other transportation equipment and parts [C21],Belgium,Nunavut,2018,0,0
Aircraft and other transportation equipment and parts [C21],Belgium,Nunavut,2019,0,0
Aircraft and other transportation equipment and parts [C21],Belgium,Nunavut,2020,0,0
Aircraft and other transportation equipment and parts [C21],Belgium,Ontario,2017,248038,2535
Aircraft and other transportation equipment and parts [C21],Belgium,Ontario,2018,12153,149531
Aircraft and other transportation equipment and parts [C21],Belgium,Ontario,2019,592,148087
Aircraft and other transportation equipment and parts [C21],Belgium,Ontario,2020,362,809
Aircraft and other transportation equipment and parts [C21],Belgium,Prince Edward Island,2017,0,0
Aircraft and other transportation equipment and parts [C21],Belgium,Prince Edward Island,2018,0,3
Aircraft and other transportation equipment and parts [C21],Belgium,Prince Edward Island,2019,0,1063
Aircraft and other transportation equipment and parts [C21],Belgium,Prince Edward Island,2020,0,8
Aircraft and other transportation equipment and parts [C21],Belgium,Quebec,2017,4307,42263
Aircraft and other transportation equipment and parts [C21],Belgium,Quebec,2018,3499,75393
Aircraft and other transportation equipment and parts [C21],Belgium,Quebec,2019,4376,42047
Aircraft and other transportation equipment and parts [C21],Belgium,Quebec,2020,7322,34138
Aircraft and other transportation equipment and parts [C21],Belgium,Saskatchewan,2017,0,0
Aircraft and other transportation equipment and parts [C21],Belgium,Saskatchewan,2018,0,0
Aircraft and other transportation equipment and parts [C21],Belgium,Saskatchewan,2019,0,0
