geo,products_and_product_groups,vector,value_2016,value_2017,value_2018,value_2019,pct_change_2016,pct_change_2017,pct_change_2018,pct_change_2019,first_dif_2016,first_dif_2017,first_dif_2018,first_dif_2019
Prince Edward Island,"Alcoholic beverages, tobacco products and recreational cannabis",v41693783,188.1,193.4,199.3,202.2,3.125,2.81765018607125,3.05067218200621,1.45509282488709,5.69999999999999,5.30000000000001,5.90000000000001,2.89999999999998
Prince Edward Island,All-items,v41693677,130.8,133.2,136.3,137.9,1.16009280742459,1.83486238532109,2.32732732732734,1.17388114453412,1.5,2.39999999999998,3.10000000000002,1.59999999999999
Prince Edward Island,Clothing and footwear,v41693737,101.5,101.7,102.6,102.5,-1.74249757986446,0.197044334975388,0.884955752212392,-0.0974658869395597,-1.8,0.200000000000003,0.899999999999992,-0.0999999999999943
Prince Edward Island,Food,v41693678,150,146.8,147.6,152.9,2.45901639344261,-2.13333333333333,0.544959128065386,3.59078590785909,3.59999999999999,-3.19999999999999,0.799999999999983,5.30000000000001
Prince Edward Island,Goods,v41693795,130.3,132.3,135.8,137,0.540123456790127,1.53491941673063,2.64550264550265,0.88365243004418,0.700000000000017,2,3.5,1.19999999999999
Prince Edward Island,Health and personal care,v41693760,120.8,123.7,125.5,127,2.28619813717188,2.40066225165563,1.45513338722716,1.19521912350598,2.7,2.90000000000001,1.8,1.5
Prince Edward Island,"Household operations, furnishings and equipment",v41693722,128.8,129.6,129.7,129.9,3.03999999999999,0.621118012422357,0.0771604938271508,0.154202004626086,3.80000000000001,0.799999999999983,0.0999999999999943,0.200000000000017
Prince Edward Island,"Recreation, education and reading",v41693770,112.6,117.5,119.7,122.3,1.16801437556153,4.35168738898757,1.87234042553193,2.172096908939,1.3,4.90000000000001,2.2,2.59999999999999
Prince Edward Island,Services,v41693799,131.3,134.1,136.6,138.5,1.94099378881987,2.13252094440213,1.86428038777031,1.39092240117131,2.5,2.79999999999998,2.5,1.90000000000001
Prince Edward Island,Shelter,v41693710,131.4,133.8,138.2,139,-0.303490136570559,1.82648401826484,3.28849028400595,0.578871201157767,-0.400000000000006,2.40000000000001,4.39999999999998,0.800000000000011
Prince Edward Island,Transportation,v41693745,126.3,132.2,138.6,139.3,0.798084596967286,4.6714172604909,4.84114977307111,0.505050505050519,1,5.89999999999999,6.40000000000001,0.700000000000017
Quebec,"Alcoholic beverages, tobacco products and recreational cannabis",v41694189,149.3,151.4,155.5,158.5,1.63376446562286,1.4065639651708,2.70805812417436,1.92926045016077,2.40000000000001,2.09999999999999,4.09999999999999,3
Quebec,All-items,v41694081,125.6,126.9,129,131.7,0.721732157177215,1.03503184713377,1.65484633569739,2.09302325581395,0.899999999999992,1.30000000000001,2.09999999999999,2.69999999999999
Quebec,Clothing and footwear,v41694142,92.7,92.6,93.3,94.9,0.651465798045606,-0.107874865156433,0.755939524838013,1.7148981779207,0.600000000000009,-0.100000000000009,0.700000000000003,1.60000000000001
Quebec,Food,v41694082,143.2,143.7,145.1,149.4,1.05857445306987,0.349162011173192,0.974251913709125,2.96347346657477,1.5,0.5,1.40000000000001,4.30000000000001
Quebec,Goods,v41694201,118.9,119.9,121.6,122.9,0.507185122569752,0.841042893187563,1.41784820683901,1.06907894736842,0.600000000000009,1,1.69999999999999,1.30000000000001
Quebec,Health and personal care,v41694166,122.4,123.7,124.5,126.4,1.24069478908189,1.06209150326796,0.646725949878729,1.52610441767069,1.5,1.3,0.799999999999997,1.90000000000001
Quebec,"Household operations, furnishings and equipment",v41694127,122.1,121.4,122,123.6,0.742574257425744,-0.573300573300557,0.494233937397027,1.31147540983608,0.899999999999992,-0.699999999999989,0.599999999999994,1.59999999999999
Quebec,"Recreation, education and reading",v41694176,100.5,101.8,101.9,104.4,0.903614457831338,1.29353233830844,0.098231827111988,2.45338567222768,0.900000000000006,1.3,0.100000000000009,2.5
Quebec,Services,v41694205,133.2,134.9,137.6,141.6,0.832702498107494,1.27627627627629,2.00148257968864,2.90697674418605,1.09999999999999,1.70000000000002,2.69999999999999,4
Quebec,Shelter,v41694114,129.8,131,133,135.6,0.85470085470088,0.924499229583972,1.52671755725191,1.95488721804512,1.10000000000002,1.19999999999999,2,2.59999999999999
Quebec,Transportation,v41694150,126.4,130.7,136.4,139.3,-0.315457413249206,3.40189873417719,4.36113236419283,2.12609970674487,-0.399999999999991,4.29999999999998,5.70000000000002,2.90000000000001
"Québec, Quebec",All-items,v41695168,125.5,126.8,128.6,130.5,0.641539695268634,1.03585657370517,1.41955835962145,1.47744945567652,0.799999999999997,1.3,1.8,1.90000000000001
"Québec, Quebec",Shelter,v41695169,130.1,131.3,132.3,132.6,0.618716163959761,0.922367409684881,0.761614623000767,0.226757369614504,0.799999999999983,1.20000000000002,1,0.299999999999983
"Regina, Saskatchewan",All-items,v41695204,132.9,135.2,138.4,140.5,1.06463878326997,1.7306245297216,2.36686390532546,1.51734104046241,1.40000000000001,2.29999999999998,3.20000000000002,2.09999999999999
"Regina, Saskatchewan",Shelter,v41695205,161.3,164.3,168,170.2,0.812500000000014,1.8598884066956,2.25197808886183,1.30952380952381,1.30000000000001,3,3.69999999999999,2.19999999999999
"Saint John, New Brunswick",All-items,v41695162,128,131.1,133.9,136.2,2.15482841181165,2.421875,2.1357742181541,1.7176997759522,2.7,3.09999999999999,2.80000000000001,2.29999999999998
"Saint John, New Brunswick",Shelter,v41695163,134.3,137,139.7,142.7,1.66540499621499,2.01042442293374,1.97080291970802,2.14745884037222,2.20000000000002,2.69999999999999,2.69999999999999,3
Saskatchewan,"Alcoholic beverages, tobacco products and recreational cannabis",v41694597,166.3,173.8,181.7,184.2,2.78121137206429,4.50992182802166,4.54545454545455,1.37589433131535,4.5,7.5,7.89999999999998,2.5
Saskatchewan,All-items,v41694489,132.2,134.4,137.5,139.9,1.07033639143729,1.6641452344932,2.30654761904761,1.74545454545454,1.39999999999998,2.20000000000002,3.09999999999999,2.40000000000001
Saskatchewan,Clothing and footwear,v41694550,98.6,99.8,100.8,103.5,-0.202429149797581,1.21703853955376,1.00200400801602,2.67857142857145,-0.200000000000003,1.2,1,2.7
Saskatchewan,Food,v41694490,144.5,146.1,147.1,151.8,0.767085076708511,1.10726643598615,0.684462696783015,3.19510537049628,1.09999999999999,1.59999999999999,1,4.70000000000002
Saskatchewan,Goods,v41694609,116.8,118.7,121.3,123,0.776531492666081,1.62671232876713,2.19039595619208,1.401483924155,0.899999999999992,1.90000000000001,2.59999999999999,1.7
Saskatchewan,Health and personal care,v41694574,121.3,123.1,125.1,126.7,1.33667502088555,1.48392415498763,1.62469536961819,1.27897681854516,1.59999999999999,1.8,2,1.60000000000001
Saskatchewan,"Household operations, furnishings and equipment",v41694535,114.4,112.8,113.8,114.5,1.77935943060498,-1.3986013986014,0.886524822695051,0.615114235500897,2,-1.60000000000001,1,0.700000000000003
Saskatchewan,"Recreation, education and reading",v41694584,111.6,113.7,114.5,115.9,0.179533213644518,1.88172043010752,0.703605980650821,1.2227074235808,0.199999999999989,2.10000000000001,0.799999999999997,1.40000000000001
Saskatchewan,Services,v41694613,151.5,154.1,157.9,161,1.33779264214047,1.71617161716171,2.46593121349774,1.96326789107029,2,2.59999999999999,3.80000000000001,3.09999999999999
Saskatchewan,Shelter,v41694522,160.5,163.5,167.4,170.4,1.13421550094519,1.86915887850468,2.38532110091742,1.7921146953405,1.80000000000001,3,3.90000000000001,3
Saskatchewan,Transportation,v41694558,121.8,126.1,132.8,135.1,1.41548709408825,3.5303776683087,5.31324345757336,1.73192771084337,1.7,4.3,6.70000000000002,2.29999999999998
"Saskatoon, Saskatchewan",All-items,v41695210,132.6,135,138.1,140.3,1.22137404580151,1.80995475113122,2.29629629629629,1.59304851556846,1.59999999999999,2.40000000000001,3.09999999999999,2.20000000000002
"Saskatoon, Saskatchewan",Shelter,v41695211,159.4,163,167.2,169.8,1.59337157425112,2.25846925972397,2.5766871165644,1.55502392344499,2.5,3.59999999999999,4.19999999999999,2.60000000000002
"St. John's, Newfoundland and Labrador",All-items,v41695144,132.2,135.3,137.4,138.6,2.71950271950271,2.34493192133134,1.55210643015519,0.873362445414855,3.5,3.10000000000002,2.09999999999999,1.19999999999999
"St. John's, Newfoundland and Labrador",Shelter,v41695145,149.5,152.3,156.3,158.5,1.35593220338983,1.87290969899667,2.62639527248851,1.40754958413308,2,2.80000000000001,4,2.19999999999999
"Thunder Bay, Ontario",All-items,v41695192,124.3,125.8,128.2,130,1.63532297628781,1.20675784392598,1.90779014308427,1.4040561622465,2,1.5,2.39999999999999,1.80000000000001
